"chemical.id","endpoints","conc","total.hits","non.sig.hits","sig.hits"
"C844503","MO24","0","1","1",0
"C844503","MO24","1","6","6",0
"C844503","DP24","0","0","0",0
"C844503","DP24","1","0","0",0
"C844503","SM24","0","0","0",0
"C844503","SM24","1","0","0",0
"C844503","NC24","0","0","0",0
"C844503","NC24","1","0","0",0
"C844503","MORT","0","1","1",0
"C844503","MORT","1","6","6",0
"C844503","YSE","0","0","0",0
"C844503","YSE","1","0","0",0
"C844503","AXIS","0","0","0",0
"C844503","AXIS","1","2","2",0
"C844503","EYE","0","0","0",0
"C844503","EYE","1","0","0",0
"C844503","SNOUT","0","0","0",0
"C844503","SNOUT","1","0","0",0
"C844503","JAW","0","0","0",0
"C844503","JAW","1","0","0",0
"C844503","OTIC","0","0","0",0
"C844503","OTIC","1","0","0",0
"C844503","PE","0","0","0",0
"C844503","PE","1","0","0",0
"C844503","BRAIN","0","0","0",0
"C844503","BRAIN","1","0","0",0
"C844503","SOMITE","0","0","0",0
"C844503","SOMITE","1","0","0",0
"C844503","PFIN","0","0","0",0
"C844503","PFIN","1","0","0",0
"C844503","CFIN","0","0","0",0
"C844503","CFIN","1","2","2",0
"C844503","PIGMENT","0","0","0",0
"C844503","PIGMENT","1","0","0",0
"C844503","CIRC","0","0","0",0
"C844503","CIRC","1","0","0",0
"C844503","TRUNK","0","0","0",0
"C844503","TRUNK","1","2","2",0
"C844503","SWIM","0","0","0",0
"C844503","SWIM","1","0","0",0
"C844503","NC","0","0","0",0
"C844503","NC","1","0","0",0
"C844503","TR","0","0","0",0
"C844503","TR","1","0","0",0
"C844503","any.except.MORT","0","0","0",0
"C844503","any.except.MORT","1","2","2",0
"C844503","any.effect","0","1","1",0
"C844503","any.effect","1","8","8",0
